date_qtr,asced3_code,lfs_status,sex,weight_sum,n
01/05/2001,110,1,1,33839.21647,158
01/05/2001,110,1,2,14937.72632,70
01/05/2001,110,2,1,NA,NA
01/05/2001,110,2,2,NA,NA
01/05/2001,110,3,1,NA,NA
01/05/2001,110,3,2,NA,NA
01/05/2001,114,1,1,11184.19666,40
01/05/2001,114,1,2,4120.199571,16
01/05/2001,114,3,1,NA,NA
01/05/2001,114,3,2,NA,NA
01/05/2001,120,1,1,86528.35613,345
01/05/2001,120,1,2,61812.74066,245
01/05/2001,120,2,1,2286.949479,11
01/05/2001,120,2,2,3790.475871,14
01/05/2001,120,3,1,5407.056932,22
01/05/2001,120,3,2,11879.23853,48
01/05/2001,210,1,2,NA,NA
01/05/2001,211,1,1,85760.97574,348
01/05/2001,211,1,2,108866.8953,462
01/05/2001,211,2,1,NA,NA
01/05/2001,211,2,2,2620.779936,10
01/05/2001,211,3,1,6951.982529,28
01/05/2001,211,3,2,22846.28365,97
01/05/2001,221,1,1,10606.18976,42
01/05/2001,221,1,2,13568.50742,57
01/05/2001,221,2,1,NA,NA
01/05/2001,221,2,2,NA,NA
01/05/2001,221,3,1,NA,NA
01/05/2001,221,3,2,2547.296723,10
01/05/2001,310,1,1,553741.0833,2208
01/05/2001,310,1,2,572533.7684,2344
01/05/2001,310,2,1,18221.95681,75
01/05/2001,310,2,2,15778.17487,63
01/05/2001,310,3,1,55029.30642,217
01/05/2001,310,3,2,122245.3334,499
01/05/2001,311,1,1,NA,NA
01/05/2001,311,1,2,NA,NA
01/05/2001,400,1,1,150439.173,614
01/05/2001,400,1,2,184705.0311,766
01/05/2001,400,2,1,7851.838801,32
01/05/2001,400,2,2,8165.748053,32
01/05/2001,400,3,1,21899.12282,88
01/05/2001,400,3,2,51462.5944,211
01/05/2001,410,1,1,NA,NA
01/05/2001,410,1,2,NA,NA
01/05/2001,411,1,1,25306.566,103
01/05/2001,411,1,2,68915.03991,272
01/05/2001,411,2,1,NA,NA
01/05/2001,411,2,2,2667.697183,11
01/05/2001,411,3,1,4082.006682,17
01/05/2001,411,3,2,17807.6836,76
01/05/2001,413,1,1,NA,NA
01/05/2001,413,1,2,NA,NA
01/05/2001,413,3,2,NA,NA
01/05/2001,421,1,1,68255.76676,278
01/05/2001,421,1,2,67581.94007,286
01/05/2001,421,2,1,3719.142967,15
01/05/2001,421,2,2,2702.7835,10
01/05/2001,421,3,1,9980.508793,44
01/05/2001,421,3,2,19767.88382,82
01/05/2001,500,1,1,17702.6883,75
01/05/2001,500,1,2,28550.94045,111
01/05/2001,500,2,1,2347.799759,10
01/05/2001,500,2,2,4057.294229,15
01/05/2001,500,3,1,8612.008367,34
01/05/2001,500,3,2,22485.38333,87
01/05/2001,510,1,1,NA,NA
01/05/2001,510,1,2,NA,NA
01/05/2001,510,3,2,NA,NA
01/05/2001,511,1,1,72067.52471,278
01/05/2001,511,1,2,89016.48585,360
01/05/2001,511,2,1,4610.20768,20
01/05/2001,511,2,2,4127.438654,17
01/05/2001,511,3,1,5461.984207,25
01/05/2001,511,3,2,23286.87991,96
01/05/2001,514,1,1,904204.6223,3677
01/05/2001,514,1,2,136301.9725,589
01/05/2001,514,2,1,42756.55949,178
01/05/2001,514,2,2,5488.311383,26
01/05/2001,514,3,1,111454.8797,465
01/05/2001,514,3,2,47326.77989,202
01/05/2001,520,1,1,NA,NA
01/05/2001,520,1,2,2816.57257,11
01/05/2001,520,2,1,NA,NA
01/05/2001,520,2,2,NA,NA
01/05/2001,520,3,1,NA,NA
01/05/2001,520,3,2,2948.242193,11
01/05/2001,521,1,1,NA,NA
01/05/2001,521,1,2,3654.559882,16
01/05/2001,521,2,1,NA,NA
01/05/2001,521,2,2,NA,NA
01/05/2001,521,3,1,NA,NA
01/05/2001,521,3,2,NA,NA
01/05/2001,524,1,1,NA,NA
01/05/2001,524,1,2,NA,NA
01/05/2001,524,3,2,NA,NA
01/05/2001,611,1,1,715895.7811,2837
01/05/2001,611,1,2,647201.7409,2681
01/05/2001,611,2,1,57077.55475,239
01/05/2001,611,2,2,49570.10555,215
01/05/2001,611,3,1,147634.3499,580
01/05/2001,611,3,2,277420.0994,1147
01/05/2001,613,1,1,266661.4743,1134
01/05/2001,613,1,2,265152.1217,1180
01/05/2001,613,2,1,30318.98458,135
01/05/2001,613,2,2,25103.57053,107
01/05/2001,613,3,1,83537.94491,355
01/05/2001,613,3,2,158844.4069,700
01/05/2001,621,1,1,600837.6154,2485
01/05/2001,621,1,2,591595.9446,2536
01/05/2001,621,2,1,70490.91266,298
01/05/2001,621,2,2,58110.50799,260
01/05/2001,621,3,1,174359.8084,734
01/05/2001,621,3,2,429393.4875,1860
01/05/2001,622,1,1,185992.3604,748
01/05/2001,622,1,2,128074.0437,544
01/05/2001,622,2,1,33000.26758,148
01/05/2001,622,2,2,24017.03606,107
01/05/2001,622,3,1,118346.6203,493
01/05/2001,622,3,2,203356.6722,868
01/05/2001,623,1,1,134166.1388,519
01/05/2001,623,1,2,79420.99511,316
01/05/2001,623,2,1,19282.42181,81
01/05/2001,623,2,2,12210.49896,51
01/05/2001,623,3,1,133189.3536,519
01/05/2001,623,3,2,225877.3472,920
01/05/2002,110,1,1,30367.83734,145
01/05/2002,110,1,2,14302.28135,64
01/05/2002,110,2,1,NA,NA
01/05/2002,110,2,2,NA,NA
01/05/2002,110,3,1,NA,NA
01/05/2002,110,3,2,NA,NA
01/05/2002,114,1,1,7482.345586,31
01/05/2002,114,1,2,3623.259767,15
01/05/2002,114,2,2,NA,NA
01/05/2002,114,3,1,NA,NA
01/05/2002,114,3,2,NA,NA
01/05/2002,120,1,1,96116.64098,374
01/05/2002,120,1,2,67757.85605,275
01/05/2002,120,2,1,3579.559663,15
01/05/2002,120,2,2,NA,NA
01/05/2002,120,3,1,6645.751742,30
01/05/2002,120,3,2,11329.07457,44
01/05/2002,211,1,1,81962.17712,337
01/05/2002,211,1,2,127455.6359,552
01/05/2002,211,2,1,NA,NA
01/05/2002,211,2,2,NA,NA
01/05/2002,211,3,1,8903.851377,36
01/05/2002,211,3,2,22870.59046,99
01/05/2002,221,1,1,9447.214018,41
01/05/2002,221,1,2,10656.86871,42
01/05/2002,221,2,1,NA,NA
01/05/2002,221,3,1,NA,NA
01/05/2002,221,3,2,NA,NA
01/05/2002,310,1,1,604378.7987,2401
01/05/2002,310,1,2,598547.699,2470
01/05/2002,310,2,1,19116.97744,79
01/05/2002,310,2,2,17979.29614,73
01/05/2002,310,3,1,48085.22363,202
01/05/2002,310,3,2,126984.5318,522
01/05/2002,411,1,1,178257.9476,718
01/05/2002,411,1,2,210675.7279,890
01/05/2002,411,2,1,7030.585402,27
01/05/2002,411,2,2,9610.197823,40
01/05/2002,411,3,1,20821.09431,84
01/05/2002,411,3,2,74293.98548,305
01/05/2002,413,1,1,NA,NA
01/05/2002,413,1,2,NA,NA
01/05/2002,413,3,2,NA,NA
01/05/2002,421,1,1,117333.2335,476
01/05/2002,421,1,2,117095.9246,496
01/05/2002,421,2,1,6613.195607,28
01/05/2002,421,2,2,8285.138711,34
01/05/2002,421,3,1,12542.38748,56
01/05/2002,421,3,2,34357.74659,146
01/05/2002,500,1,1,6695.049568,25
01/05/2002,500,1,2,3158.973884,11
01/05/2002,500,2,1,NA,NA
01/05/2002,500,2,2,NA,NA
01/05/2002,500,3,1,NA,NA
01/05/2002,500,3,2,NA,NA
01/05/2002,510,1,1,19514.55512,70
01/05/2002,510,1,2,21907.3141,85
01/05/2002,510,2,2,NA,NA
01/05/2002,510,3,1,NA,NA
01/05/2002,510,3,2,9291.383062,40
01/05/2002,511,1,1,81082.57552,311
01/05/2002,511,1,2,94833.6606,403
01/05/2002,511,2,1,5328.445058,20
01/05/2002,511,2,2,5286.118566,23
01/05/2002,511,3,1,7159.77858,33
01/05/2002,511,3,2,24363.73988,99
01/05/2002,514,1,1,954443.8866,3869
01/05/2002,514,1,2,164190.4928,724
01/05/2002,514,2,1,37323.1434,150
01/05/2002,514,2,2,11552.40023,53
01/05/2002,514,3,1,114624.4145,493
01/05/2002,514,3,2,68793.98793,279
01/05/2002,520,1,1,11458.7372,44
01/05/2002,520,1,2,17096.70515,72
01/05/2002,520,2,1,NA,NA
01/05/2002,520,2,2,NA,NA
01/05/2002,520,3,1,4810.092103,21
01/05/2002,520,3,2,19828.87101,80
01/05/2002,521,1,1,NA,NA
01/05/2002,521,1,2,4248.793636,20
01/05/2002,521,2,1,NA,NA
01/05/2002,521,2,2,NA,NA
01/05/2002,521,3,2,NA,NA
01/05/2002,524,1,1,NA,NA
01/05/2002,524,1,2,NA,NA
01/05/2002,524,2,1,NA,NA
01/05/2002,524,2,2,NA,NA
01/05/2002,524,3,1,NA,NA
01/05/2002,524,3,2,NA,NA
01/05/2002,600,3,1,5720.143521,28
01/05/2002,600,3,2,3356.3761,16
01/05/2002,611,1,1,756767.3753,3025
01/05/2002,611,1,2,721521.3566,3022
01/05/2002,611,2,1,59649.89292,252
01/05/2002,611,2,2,48985.78921,201
01/05/2002,611,3,1,165663.0538,671
01/05/2002,611,3,2,333456.2963,1349
01/05/2002,613,1,1,272068.1519,1191
01/05/2002,613,1,2,286941.5932,1286
01/05/2002,613,2,1,26908.29664,117
01/05/2002,613,2,2,26048.39788,115
01/05/2002,613,3,1,80508.73071,357
01/05/2002,613,3,2,176185.801,757
01/05/2002,621,1,1,618817.1549,2531
01/05/2002,621,1,2,658086.4415,2853
01/05/2002,621,2,1,75806.11915,308
01/05/2002,621,2,2,47162.5243,199
01/05/2002,621,3,1,189732.6701,764
01/05/2002,621,3,2,493006.834,2076
01/05/2002,622,1,1,185907.9176,771
01/05/2002,622,1,2,125217.2264,524
01/05/2002,622,2,1,35018.24518,141
01/05/2002,622,2,2,22952.18219,100
01/05/2002,622,3,1,129122.0665,540
01/05/2002,622,3,2,216402.1106,899
01/05/2002,623,1,1,135560.226,534
01/05/2002,623,1,2,79943.49472,331
01/05/2002,623,2,1,20185.78977,78
01/05/2002,623,2,2,10536.78805,43
01/05/2002,623,3,1,131766.7058,524
01/05/2002,623,3,2,215428.3457,865
01/05/2003,110,1,1,35656.39291,150
01/05/2003,110,1,2,15005.38009,68
01/05/2003,110,2,1,NA,NA
01/05/2003,110,3,1,2663.342698,10
01/05/2003,110,3,2,1754.52579,10
01/05/2003,111,1,1,NA,NA
01/05/2003,111,1,2,NA,NA
01/05/2003,111,3,2,NA,NA
01/05/2003,114,1,1,7850.867259,32
01/05/2003,114,1,2,NA,NA
01/05/2003,114,2,2,NA,NA
01/05/2003,114,3,1,NA,NA
01/05/2003,114,3,2,NA,NA
01/05/2003,120,1,1,102181.775,391
01/05/2003,120,1,2,82139.07714,318
01/05/2003,120,2,1,4959.638082,18
01/05/2003,120,2,2,NA,NA
01/05/2003,120,3,1,8841.85943,34
01/05/2003,120,3,2,15416.65107,60
01/05/2003,211,1,1,92914.27381,367
01/05/2003,211,1,2,121712.151,509
01/05/2003,211,2,1,2615.618007,10
01/05/2003,211,2,2,4979.047074,22
01/05/2003,211,3,1,8197.016348,34
01/05/2003,211,3,2,25975.16727,107
01/05/2003,221,1,1,7557.10809,32
01/05/2003,221,1,2,15223.77556,62
01/05/2003,221,2,2,NA,NA
01/05/2003,221,3,1,NA,NA
01/05/2003,221,3,2,NA,NA
01/05/2003,310,1,1,587680.6041,2270
01/05/2003,310,1,2,605900.075,2395
01/05/2003,310,2,1,20738.42071,75
01/05/2003,310,2,2,16772.9308,68
01/05/2003,310,3,1,56336.63987,209
01/05/2003,310,3,2,133063.6496,534
01/05/2003,411,1,1,168984.7972,656
01/05/2003,411,1,2,203113.7792,817
01/05/2003,411,2,1,6779.639357,24
01/05/2003,411,2,2,9223.449268,39
01/05/2003,411,3,1,24441.47102,99
01/05/2003,411,3,2,64939.67781,259
01/05/2003,413,1,2,NA,NA
01/05/2003,421,1,1,140232.2364,532
01/05/2003,421,1,2,130368.6462,502
01/05/2003,421,2,1,5843.438613,24
01/05/2003,421,2,2,7171.153143,31
01/05/2003,421,3,1,15625.49597,59
01/05/2003,421,3,2,36093.31674,141
01/05/2003,500,1,1,3279.554213,15
01/05/2003,500,1,2,3957.111817,16
01/05/2003,500,2,1,NA,NA
01/05/2003,500,3,1,NA,NA
01/05/2003,500,3,2,NA,NA
01/05/2003,510,1,1,19842.08481,74
01/05/2003,510,1,2,15989.02333,64
01/05/2003,510,2,1,NA,NA
01/05/2003,510,2,2,NA,NA
01/05/2003,510,3,1,3143.268681,13
01/05/2003,510,3,2,7632.980801,28
01/05/2003,511,1,1,80853.40634,302
01/05/2003,511,1,2,98205.46453,397
01/05/2003,511,2,1,5575.622372,21
01/05/2003,511,2,2,4161.944032,17
01/05/2003,511,3,1,8666.978981,37
01/05/2003,511,3,2,26254.43007,101
01/05/2003,514,1,1,970746.9293,3839
01/05/2003,514,1,2,207074.1183,839
01/05/2003,514,2,1,32178.90445,130
01/05/2003,514,2,2,14814.35066,59
01/05/2003,514,3,1,108347.5283,435
01/05/2003,514,3,2,66547.45332,276
01/05/2003,520,1,1,14568.21167,50
01/05/2003,520,1,2,19717.2247,71
01/05/2003,520,2,1,NA,NA
01/05/2003,520,2,2,NA,NA
01/05/2003,520,3,1,6175.689578,22
01/05/2003,520,3,2,15191.24427,56
01/05/2003,521,1,1,NA,NA
01/05/2003,521,1,2,NA,NA
01/05/2003,521,2,1,NA,NA
01/05/2003,521,2,2,NA,NA
01/05/2003,521,3,1,NA,NA
01/05/2003,521,3,2,NA,NA
01/05/2003,524,1,1,NA,NA
01/05/2003,524,1,2,2430.730413,11
01/05/2003,524,2,1,NA,NA
01/05/2003,524,3,1,NA,NA
01/05/2003,524,3,2,NA,NA
01/05/2003,600,3,1,3826.42427,23
01/05/2003,600,3,2,4436.896293,19
01/05/2003,611,1,1,757876.5309,2953
01/05/2003,611,1,2,770953.5091,3032
01/05/2003,611,2,1,50995.58569,208
01/05/2003,611,2,2,53103.03889,216
01/05/2003,611,3,1,153714.5116,585
01/05/2003,611,3,2,321053.3728,1300
01/05/2003,613,1,1,274773.4734,1139
01/05/2003,613,1,2,290146.9954,1252
01/05/2003,613,2,1,27121.44053,120
01/05/2003,613,2,2,24329.73802,103
01/05/2003,613,3,1,83291.02632,345
01/05/2003,613,3,2,174211.9311,709
01/05/2003,621,1,1,616927.9398,2455
01/05/2003,621,1,2,635495.4758,2648
01/05/2003,621,2,1,60261.8539,254
01/05/2003,621,2,2,62993.90511,253
01/05/2003,621,3,1,187775.6692,768
01/05/2003,621,3,2,447843.0461,1850
01/05/2003,622,1,1,169121.1456,663
01/05/2003,622,1,2,137409.6177,549
01/05/2003,622,2,1,34744.41017,136
01/05/2003,622,2,2,16120.86382,74
01/05/2003,622,3,1,138803.7131,550
01/05/2003,622,3,2,208579.7094,826
01/05/2003,623,1,1,124268.5325,459
01/05/2003,623,1,2,73232.46606,280
01/05/2003,623,2,1,17161.90696,61
01/05/2003,623,2,2,7123.876845,31
01/05/2003,623,3,1,119406.2263,445
01/05/2003,623,3,2,186626.8152,740
01/05/2004,110,1,1,33200.63488,138
01/05/2004,110,1,2,19599.68358,78
01/05/2004,110,2,1,NA,NA
01/05/2004,110,2,2,NA,NA
01/05/2004,110,3,1,NA,NA
01/05/2004,110,3,2,NA,NA
01/05/2004,111,1,1,NA,NA
01/05/2004,111,1,2,NA,NA
01/05/2004,114,1,1,12686.28023,49
01/05/2004,114,1,2,4525.684063,17
01/05/2004,114,3,2,NA,NA
01/05/2004,120,1,1,122421.6924,447
01/05/2004,120,1,2,77935.89626,303
01/05/2004,120,2,1,4840.149005,16
01/05/2004,120,2,2,3508.285801,13
01/05/2004,120,3,1,7633.194198,33
01/05/2004,120,3,2,19462.35272,68
01/05/2004,211,1,1,83977.96173,335
01/05/2004,211,1,2,130468.0792,502
01/05/2004,211,2,1,NA,NA
01/05/2004,211,2,2,3272.534654,16
01/05/2004,211,3,1,6677.592975,26
01/05/2004,211,3,2,22566.3131,93
01/05/2004,221,1,1,8819.983602,34
